p_I1,p_I2,ph1,ph2,method,n,bias,var,se,z,sig
1.0,1.0,0.5,0.2,GMM estimator,300,-0.0007618358367111368,0.01464410066859674,0.006986677958466561,-0.10904121261062745,False
1.0,1.0,0.5,0.2,Simple g-estimator,300,0.00758793947408348,0.013513220259773218,0.00671148772870646,1.1305897858724006,False
1.0,1.0,0.5,0.2,Three-step estimator,300,0.007587939474174556,0.013513220259749768,0.006711487728700636,1.1305897858869518,False
1.0,1.0,0.5,0.5,GMM estimator,300,-0.0018466536740193674,0.008889361017987369,0.005443455097021673,-0.33924293322998916,False
1.0,1.0,0.5,0.5,Simple g-estimator,300,0.0015268944264510338,0.008876978603757394,0.0054396625519595706,0.2806965343651674,False
1.0,1.0,0.5,0.5,Three-step estimator,300,0.0015268944263988297,0.008876978603766152,0.005439662551962254,0.28069653435543196,False
1.0,1.0,0.5,0.8,GMM estimator,300,-0.007896779694040845,0.013446224982717166,0.0066948300906289285,-1.1795339967020735,False
1.0,1.0,0.5,0.8,Simple g-estimator,300,-0.006951898534617615,0.01203991051084603,0.006335063933075453,-1.0973683309369082,False
1.0,1.0,0.5,0.8,Three-step estimator,300,-0.006951898534617244,0.012039910510853607,0.006335063933077447,-1.0973683309365043,False
1.0,1.0,0.8,0.2,GMM estimator,300,-0.004363837172253963,0.011277184088049475,0.006131118464589604,-0.7117522190212748,False
1.0,1.0,0.8,0.2,Simple g-estimator,300,0.0017437633585586788,0.011260555532896635,0.006126596535569765,0.2846218693257742,False
1.0,1.0,0.8,0.2,Three-step estimator,300,0.0017437633578641617,0.011260555533097363,0.006126596535624371,0.2846218692098764,False
1.0,1.0,0.8,0.5,GMM estimator,300,-0.0032524929374275744,0.007169671472598639,0.0048886506224787765,-0.6653150712943374,False
1.0,1.0,0.8,0.5,Simple g-estimator,300,0.0014191207751862338,0.008520553671762524,0.005329338192734793,0.2662846161875872,False
1.0,1.0,0.8,0.5,Three-step estimator,300,0.001419120775212983,0.008520553671750773,0.005329338192731118,0.26628461619279004,False
1.0,1.0,0.8,0.8,GMM estimator,300,-0.006286483398995866,0.010873754047893246,0.006020452377214757,-1.0441878791015673,False
1.0,1.0,0.8,0.8,Simple g-estimator,300,-0.0022824926975404517,0.010467715761708313,0.005906977727430589,-0.3864061797526513,False
1.0,1.0,0.8,0.8,Three-step estimator,300,-0.002282492697861113,0.010467715761512062,0.005906977727375216,-0.3864061798105587,False
