id,est_psi03,est_psi13,est_psi23,method,p_I1,p_I2,ph1,ph2,seed,psi03,psi13,psi23,gamma13,gamma23
103,1.057770331383654,1.3161317089610434,1.1830548617916925,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
104,0.39766430464564567,1.3280394670599347,0.8589894911444041,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
105,0.989107412770733,0.7878771143649822,0.52052630741293,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
106,0.7269823279942224,0.6967895504084821,0.6526027793614462,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
107,0.584591060491998,1.0412297137284148,1.3365827669525265,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
108,0.9182159228142751,1.0227293051809756,1.2816016123936216,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
109,0.9653935513117546,1.2025102852775111,1.2746040046007625,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
110,1.2302785840133663,1.081845610495464,1.1582051206773052,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
111,1.1137357558785272,1.5901076169029618,0.9106050383799429,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
112,0.9176284583759623,1.0018087219801903,0.8437393667846229,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
113,0.6328857192958253,1.109860174158759,0.9645922493549276,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
114,1.2742841013341248,1.0639529667120504,0.753053351231557,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
115,1.1159926757691125,0.8027493710578112,0.8455190135775493,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
116,0.7821951645765214,1.388540112220751,0.7409445627950232,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
117,0.4729932325862447,0.5879847398620348,1.0155638634221125,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
118,0.7462085497918993,0.7156610110103168,0.9768062223836664,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
119,1.0223974812673824,1.3555938209750773,0.9336550100529717,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
120,0.8977011571751815,1.3156661696065046,1.0918895281909058,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
121,1.0894012860614701,1.2636974485243848,1.2551671289132609,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
122,1.4074983675814912,0.896409979417642,0.8582020439972656,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
123,1.1148653696656299,1.7118070411088349,0.9589716376533333,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
124,0.9160171910096427,0.909915992458834,0.6287242760866798,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
125,0.7169658624268072,1.3962922382689902,1.2676167097385498,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
126,1.0437647802364165,1.194272157828734,0.8718976199156506,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
127,1.0753384789503455,1.2183795256738021,1.2528502029164263,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
128,1.3564462733463005,1.460207477656429,1.2954505008071826,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
129,1.0082504079430572,1.2236626885438073,1.2599541030618258,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
130,0.7633179631155695,0.4350945800154738,0.8044778226832608,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
131,0.7776704065543877,1.1022400295005983,1.199201193938765,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
132,0.49594873170916176,0.9805201863481421,0.9791371538708209,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
133,0.8863790129506915,0.9364690498705222,1.054992998908874,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
134,1.093033442174433,1.1389950922051417,1.1704426754347872,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
135,1.206069256409123,1.1369464009758998,0.783105909990211,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
136,0.6995535799885175,1.048215204504683,0.539829962648138,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
137,0.8878461822877306,1.4045879133224197,0.9807952209281602,Three-step,0.2,0.2,0.5,0.5,3411,1.0,1.0,1.0,correct,correct
